desarrollarr desarrollar
crearr crear
generarr generar
mejorarar mejorar
solucionarar solucionar
gestionarr gestionar
ejecutarr ejecutar
controlarr controlar
evitarr evitar
proponerr proponer
aumentarr aumentar
buscarr buscar
fusionarrar fusionar
selegir elegir
dependerr depender
esperarr esperar
establecerr establecer
facilitarr facilitar
recrearr recrear
consultarr consultar
controlarrar controlar
corresponderr corresponder
descentralizarr descentralizar
diligenciarr diligenciar
disenarr disenar
enfocarr enfocar
fomentarr fomentar
fusionarr fusionar
laborarar laborar
meidr medir
practicarr practicar
responderr responder
dependar depender
